Attack Type,Norm,c,Accuracy,Precision,Recall,F1 Score
FGSM,Linf,50.0,0.06,0.025191489361702128,0.06,0.01975
FGSM,Linf,10.0,0.06,0.025191489361702128,0.06,0.01975
FGSM,Linf,1.0,0.06,0.025191489361702128,0.06,0.01975
FGSM,Linf,0.3,0.08,0.058191489361702126,0.08,0.044823529411764707
FGSM,Linf,0.1,0.2,0.5243902439024389,0.2,0.22143009931245228
FGSM,Linf,0.05,0.51,0.5864296814296814,0.51,0.5086191098661687
FGSM,Linf,0.01,1.0,1.0,1.0,1.0
FGSM,Linf,0.001,1.0,1.0,1.0,1.0
PGD,L2,50.0,0.06,0.0037113402061855674,0.06,0.006990291262135922
PGD,L2,10.0,0.05,0.0032967032967032967,0.05,0.006185567010309279
PGD,L2,1.0,0.0,0.0,0.0,0.0
PGD,L2,0.3,0.02,0.11153846153846153,0.02,0.021
PGD,L2,0.1,0.04,0.04287356321839081,0.04,0.025999999999999995
PGD,L2,0.05,0.06,0.04901660280970625,0.06,0.035218045112781954
PGD,L2,0.01,0.33,0.38005952380952385,0.33,0.29260446570972887
PGD,L2,0.001,1.0,1.0,1.0,1.0
PGD,Linf,50.0,0.06,0.00375,0.06,0.007058823529411764
PGD,Linf,10.0,0.06,0.00375,0.06,0.007058823529411764
PGD,Linf,1.0,0.06,0.00375,0.06,0.007058823529411764
PGD,Linf,0.3,0.06,0.00375,0.06,0.007058823529411764
PGD,Linf,0.1,0.06,0.00375,0.06,0.007058823529411764
PGD,Linf,0.05,0.03,0.0021176470588235292,0.03,0.003956043956043956
PGD,Linf,0.01,0.01,0.11,0.01,0.018333333333333333
PGD,Linf,0.001,0.07,0.05266666666666666,0.07,0.039482401656314704
CW,L2,50.0,0.0,0.0,0.0,0.0
CW,L2,10.0,0.0,0.0,0.0,0.0
CW,L2,1.0,0.05,0.0030303030303030303,0.05,0.005714285714285714
CW,L2,0.3,0.06,0.0036,0.06,0.00679245283018868
CW,L2,0.1,0.06,0.0036,0.06,0.00679245283018868
CW,L2,0.05,0.06,0.0036,0.06,0.00679245283018868
CW,L2,0.01,0.06,0.0036,0.06,0.00679245283018868
CW,L2,0.001,0.06,0.0036,0.06,0.00679245283018868
CW,Linf,50.0,0.02,0.005957446808510638,0.02,0.009180327868852459
CW,Linf,10.0,0.02,0.006666666666666666,0.02,0.01
CW,Linf,1.0,0.0,0.0,0.0,0.0
CW,Linf,0.3,0.0,0.0,0.0,0.0
CW,Linf,0.1,0.0,0.0,0.0,0.0
CW,Linf,0.05,0.0,0.0,0.0,0.0
CW,Linf,0.01,0.0,0.0,0.0,0.0
CW,Linf,0.001,0.0,0.0,0.0,0.0

